"Final_EA_code","interview__id","School_leave_id","s3q34","s3q35a","s3q35b","s3q36a","s3q36b"
"123110030105","19e17412e1bb4367904771f4b7d723b1",1,1,30,20,8,8
"123110030105","19e17412e1bb4367904771f4b7d723b1",2,1,20,10,11,11
"307108020605","1a7113db20214db7abccd7c463c86c4c",3,1,10,8,8,8
"307108020605","1a7113db20214db7abccd7c463c86c4c",1,1,14,18,8,8
"307108020605","1a7113db20214db7abccd7c463c86c4c",2,1,20,25,8,8
"226105051005","1abf78b9247749bf82b6875f5fa2caac",1,1,0,1,,8
"226105051005","1abf78b9247749bf82b6875f5fa2caac",2,2,,,,
"226105051005","1abf78b9247749bf82b6875f5fa2caac",3,1,1,1,9,5
"415115040706","1b8cc2c217144817bece19f488026244",3,2,,,,
"415115040706","1b8cc2c217144817bece19f488026244",1,2,,,,
"415115040706","1b8cc2c217144817bece19f488026244",2,2,,,,
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",2,1,30,52,9,9
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",1,1,24,35,9,9
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",3,1,32,38,9,9
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",3,2,,,,
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",1,2,,,,
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",2,1,1,0,9,
"323104030201","1f82d12a97c547288165584527f40a15",2,1,52,60,11,11
"323104030201","1f82d12a97c547288165584527f40a15",1,1,60,70,11,11
"323104030201","1f82d12a97c547288165584527f40a15",3,1,58,66,9,11
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",3,,,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",2,,,,,
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",1,,,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",1,,,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",3,,,,,
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",2,,,,,
"107305070203","22079ff2853f489cae51dabb6c99470d",3,1,80,55,6,5
"107305070203","22079ff2853f489cae51dabb6c99470d",2,1,48,50,6,6
"107305070203","22079ff2853f489cae51dabb6c99470d",1,1,50,45,6,5
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",2,,,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",3,,,,,
"403201020515","22305ac5a3e1460c98eca90206d5b6bc",1,,,,,
"102105010613","2298e1b9396042d282a34faa2bbeac2d",2,1,5,5,8,8
"102105010613","2298e1b9396042d282a34faa2bbeac2d",3,1,2,11,8,8
"102105010613","2298e1b9396042d282a34faa2bbeac2d",1,1,3,7,8,8
"215115020203","23f6bb268b504e58856725154c372561",1,1,0,1,,9
"215115020203","23f6bb268b504e58856725154c372561",2,2,,,,
"215115020203","23f6bb268b504e58856725154c372561",3,2,,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",3,,,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",2,,,,,
"230105040506","24dff56428de471c8f2d55dc2ad1600a",1,,,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",3,,,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",2,,,,,
"102101080210","2687e3cb2fe0474abeda57d9a8c8ad32",1,,,,,
"216202030604","26be7462ce5e43d3b0b9cfdda3680cda",3,1,,,,
"216202030604","26be7462ce5e43d3b0b9cfdda3680cda",2,1,,,,
"216202030604","26be7462ce5e43d3b0b9cfdda3680cda",1,1,,,,
"404102030405","26eef9075b7349a0b4525e9ba09468a2",3,1,5,7,8,8
"404102030405","26eef9075b7349a0b4525e9ba09468a2",1,1,2,3,8,8
"404102030405","26eef9075b7349a0b4525e9ba09468a2",2,1,3,5,8,8
"409101040104","26f0c6653b8b4c1bad87410d14d90552",1,,,,,
"409101040104","26f0c6653b8b4c1bad87410d14d90552",3,,,,,
"409101040104","26f0c6653b8b4c1bad87410d14d90552",2,,,,,
"119104030404","293ecee7a80a482c9e10d861a7ee9c7c",3,1,2,2,8,8
