"Final_EA_code","interview__id","Class_id","s3q53","s3q54","s3q55a","s3q55b","s3q56","s3q57","s3q58","s3q59","s3q60","s3q61","s3q62","s3q63","s3q64","s3q65","s3q66"
"113105050532","103ae2d40d654ba6ae6314c148087521",2,2,1,80,86,1,1,1,,,,1,148,1,1,1
"113105050532","103ae2d40d654ba6ae6314c148087521",5,1,2,72,79,1,1,1,,,,2,149,1,1,1
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",6,1,2,20,20,1,4,1,,,,1,25,1,3,1
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",1,2,1,60,78,1,1,1,,,,1,40,1,2,1
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",0,2,2,65,82,2,3,1,,,,1,36,1,2,1
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",5,1,2,36,34,1,5,1,,,,1,29,1,2,2
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",2,1,2,64,82,1,1,1,,,,1,38,1,3,1
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",4,1,2,68,56,1,5,1,,,,1,52,1,3,1
"317101010205","104d7f9eb5cc42939d5b89074e036cb9",3,1,2,66,74,1,4,1,,,,1,41,1,3,2
"232101040606","1058921f8e3e4719beb3f8c64572daf1",5,1,2,34,52,2,2,1,,,,1,64,1,1,1
"232101040606","1058921f8e3e4719beb3f8c64572daf1",4,1,2,38,57,2,1,1,,,,1,78,1,2,1
"232101040606","1058921f8e3e4719beb3f8c64572daf1",0,2,2,77,76,2,5,1,,,,1,91,1,1,1
"232101040606","1058921f8e3e4719beb3f8c64572daf1",1,2,2,51,50,2,1,1,,,,1,61,1,1,1
"232101040606","1058921f8e3e4719beb3f8c64572daf1",6,1,1,79,26,2,3,1,,,,1,51,1,1,1
"232101040606","1058921f8e3e4719beb3f8c64572daf1",3,1,1,66,76,2,1,1,,,,1,102,2,1,1
"232101040606","1058921f8e3e4719beb3f8c64572daf1",2,2,2,57,49,2,1,1,,,,1,102,1,1,1
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",4,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",2,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",1,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",3,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",5,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",0,,,,,,,,,,,,,,,
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",6,,,,,,,,,,,,,,,
"308102060619","1124288a21f7429c8e9307a11291b298",1,2,2,86,97,2,3,1,,,,1,135,4,1,1
"308102060619","1124288a21f7429c8e9307a11291b298",2,2,2,93,87,1,3,1,,,,1,93,1,1,1
"308102060619","1124288a21f7429c8e9307a11291b298",3,2,2,80,81,1,2,1,,,,1,98,1,1,1
"308102060619","1124288a21f7429c8e9307a11291b298",0,2,2,84,99,1,1,1,,,,1,115,5,1,2
"308102060619","1124288a21f7429c8e9307a11291b298",4,2,2,47,67,1,4,1,,,,1,62,1,1,1
"308102060619","1124288a21f7429c8e9307a11291b298",5,2,2,56,38,1,3,1,,,,1,57,1,1,1
"308102060619","1124288a21f7429c8e9307a11291b298",6,1,1,48,28,1,1,1,,,,1,56,1,1,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",4,2,2,95,101,1,1,1,,,,1,132,3,1,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",6,1,2,48,38,1,1,1,,,,1,86,1,1,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",3,2,1,65,116,1,1,1,,,,1,147,1,1,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",2,2,2,79,75,2,1,1,,,,1,109,2,1,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",0,2,2,96,116,2,1,1,,,,2,88,3,1,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",5,1,2,95,100,1,2,1,,,,1,147,2,1,1
"327106020513","11324295e37b4bd8b91976e0d5e61df7",1,2,2,96,100,2,1,1,,,,1,82,3,1,1
"219103170202","14b0a6db23fb42a683d40499e0651e1a",0,2,2,79,86,2,5,1,,,,1,128,5,3,1
"219103170202","14b0a6db23fb42a683d40499e0651e1a",1,2,2,80,72,2,5,1,,,,1,108,5,2,1
"219103170202","14b0a6db23fb42a683d40499e0651e1a",2,2,2,58,72,2,5,1,,,,1,102,3,2,1
"219103170202","14b0a6db23fb42a683d40499e0651e1a",3,2,2,85,101,2,5,1,,,,1,155,3,2,1
"219103170202","14b0a6db23fb42a683d40499e0651e1a",5,1,2,25,27,2,5,1,,,,1,33,2,2,1
