"hhid","parcelID","a2aq1owned","s2aq5_1","s2aq03_1a","s2aq4","s2aq5","s2aq6","s2aq7","s2aq8","s2aq9","s2aq10","s2aq11a","s2aq11b","a2bq12a_1","a2bq12b_1","s2aq14","s2aq15a","s2aq15b","a2aq28","a2aq29a","a2aq29b","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b","s2aq23","a2aq31","s2aq26__0","s2aq26__1","a2aq32","a2aq33a","a2aq33b","a2aq33c","s2aq24__0","s2aq24__1","s2aq27__0","s2aq27__1","a2aq34","a2aq25","a2aq35","a2aq36","a2aq37","a2aq38","a2aq39"
"05863e44874d4d0bbe8abdc95d9249b2",1,1,1,1,,1,3,1,8,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,5,,5,,6,2,2,,1,,700000
"05863e44874d4d0bbe8abdc95d9249b2",2,1,1,1,,1,2,1,9,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,6,2,2,,1,,700000
"0586e2b9bcd24aa3bf31580492500327",1,1,1,1,,0.5,1,4,1,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,4,4,,2,2,2,,1,,2000000
"0586e2b9bcd24aa3bf31580492500327",2,1,1,1,,0.5,2,4,1,999,1,2,2,,,,100,100,1,1,,2,2,,,,4,,,,2,,,,1,4,4,,2,2,2,,1,,2000000
"058977f6550c4624b8d171b5d1a58a6e",1,1,1,1,0.3,0.3,1,3,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,1,2,,2,4,3000000
"059ff457522a4a8fa64c8b2717080161",1,1,2,1,,0.25,3,1,2,999,1,1,5,,1,,100,,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,3000000
"059ff457522a4a8fa64c8b2717080161",2,1,2,1,0.28,0.25,1,1,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,2500000
"05b5aece409440ff8a1231a07558d979",1,1,1,1,2.78,3,1,1,1,999,1,1,1,,,,40,80,1,1,,2,1,1,8,,4,,,,1,3,,,1,,1,,2,2,2,,1,,6000000
"05bd23b2d9d84b128c7b45db8d2da17f",1,1,1,1,0.1,0.15,1,4,2,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,6,2,2,,1,,2000000
"05cef9765f92473eb465b6dc4fac72a4",1,1,1,1,,1,4,4,2,999,1,1,96,,,,100,,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,6000000
