"hhid","parcelID","t0_hhid","s2aq05_1","s2aq03_3","a2bq1owned","s2aq03_1","s2aq04","s2aq05","s2aq06","s2aq07","s2aq08","a2bq09","a2bq10","a2bq11","a2bq12a","a2bq12b","a2bq12a_1","a2bq12b_1","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b"
"11071ed7d8a44327a0e7e3eb61f26633",1,"H1786",2,1,2,1,,2,4,4,8,0,3,2,1,5,,1,2,2,,,
"1112c2eca9fc455a9a63e4fa51e352ab",3,"H1527",,1,2,3,,0.5,3,1,9,,2,2,1,1,,,2,2,,,
"1158beb5ce1a4af79f14684f8a1d1118",1,"H0852",2,1,2,1,,0.5,4,4,9,,10,2,1,1,,,3,2,,,
"1158beb5ce1a4af79f14684f8a1d1118",2,"H0852",2,1,2,1,,6,3,4,8,320000,10,1,1,1,,,2,2,,,
"11849db1f29e4b0cb08e6eeda1fbfb30",1,"H0785",2,1,2,1,,0.25,2,4,8,0,2,2,2,2,,,2,1,2,8,
"122b45c8ede343909405d719aa98f674",2,"H2673",1,1,2,1,,1,3,2,8,60000,2,1,1,1,,,2,2,,,
"12f5ebcc6aa8416d9bae426583f43f89",3,"H2375",2,1,2,1,,1,1,4,8,40000,1,1,96,1,,,2,2,,,
"13bbb610652645e3bde6239310be0af2",1,"H0603",1,1,2,1,,0.5,2,3,2,,10,2,2,2,,,2,2,,,
"13bbb610652645e3bde6239310be0af2",2,"H0603",1,1,2,1,,1,2,1,2,,10,2,2,2,,,2,2,,,
"13bbb610652645e3bde6239310be0af2",3,"H0603",1,1,2,1,,1,2,1,2,,10,2,1,1,,,2,2,,,
"13f80bce97ac4ebcbddba301387071e6",1,"H3146",1,1,2,1,,0.25,4,1,8,50000,2,1,1,5,,3,2,2,,,
"14039c7d7a0b49049dff1fcb05a5ca5c",3,"H2734",7,3,2,,,0.2,2,1,9,,1,1,1,1,,,2,2,,,
"140e9bb1a3a94f3d86379851b51e3122",2,"H2180",1,3,2,,,,,4,8,60000,1,2,1,5,,3,2,2,,,
"1410e723b01e4bf69e78d9ab6721cff6",4,"H2273",2,3,2,,,1,1,2,8,40000,1,1,96,1,,,2,2,,,
"144b7e78b04746d4bf4b3a17e62eae1c",2,"H1356",2,3,2,,,0.5,4,4,8,120000,0,2,96,1,,,2,2,,,
"14e10f677117459db2b9b2895e7c722e",1,"H1765",1,1,2,1,,1,1,2,8,50000,1,1,1,5,,3,2,2,,,
"1536a495d0ee472595d692c6865f5203",1,"H2885",1,1,2,1,,1,3,1,9,,3,1,1,1,,,2,2,,,
"15427620b2844715a0283e4a1a08f8b2",1,"H1316",1,1,2,3,,0.82,3,4,8,80000,0,2,1,1,,,2,2,,,
