"hhid","parcelID","pltid","s3aq03b","s3bq03_1","s2aq05_211_1","s2aq04_1_1","s3bq03_2","s3bq03_3","s3bq03_4a","s3bq03_4b","s3bq03a","s3bq04","s3bq04a","s3bq05","s3bq06","s3bq07","s3bq08","s3bq09","s3bq12","s3bq13","s3bq14","s3bq13a","s3bq15","s3bq16","s3bq17","s3bq18","s3bq19","s3bq22","s3bq23","s3bq24a","s3bq24b","s3bq25","s3bq26","s3bq27","s3bq28","s3bq34","s3bq35a","s3bq35b","s3bq35c","s3bq36","s4bq07"
"7ffd0f7a4352484f8a54a1c83dab22e1",3,1,"1.RICE",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"7ffd0f7a4352484f8a54a1c83dab22e1",2,1,"1.CASSAVA/ MAIZE /  GROUNDNUTS",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"7ffd0f7a4352484f8a54a1c83dab22e1",1,1,"1. CASSAVA / SORGHUM",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"80165b71b52d4451866e493156a95c54",1,2,"cassava",1,1,0.98,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,2,2,0,80000,0.98
"80165b71b52d4451866e493156a95c54",1,3,"sweet potatoes",1,1,0.6,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,5,0,120000,0.6
"80165b71b52d4451866e493156a95c54",1,5,"cotton",1,1,4.9,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,2,2,0,60000,4.9
"80165b71b52d4451866e493156a95c54",1,4,"soyabeans",1,1,4.98,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,4,4,0,80000,4.98
"80165b71b52d4451866e493156a95c54",1,1,"groundnut",1,1,3.45,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,6,6,0,50000,3.45
"803d97f117e04a4b8c9c38f2e87bf41f",1,2,"BEANS",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,2
"803d97f117e04a4b8c9c38f2e87bf41f",3,1,"MATOOKE",1,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,5
"803d97f117e04a4b8c9c38f2e87bf41f",2,1,"MATOOKE",1,1,0.5,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"803d97f117e04a4b8c9c38f2e87bf41f",1,1,"ONIONS",2,2,,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1.5
