"hhid","parcelID","pltid","s3aq03","s2aq04_1","s3aq03_1","s3aq03_2","s3aq03_3","s3aq03_4a","s3aq03_4b","s3aq03a","s3aq04","s3aq04a","s3aq05","s3aq06","s3aq07","s3aq08","s3aq09","s3aq12","s3aq13","s3aq14","s3aq14a","s3aq15","s3aq16","s3aq17","s3aq18","s3aq19","s3aq22","s3aq23","s3aq24a","s3aq24b","s3aq25","s3aq26","s3aq27","s3aq28","s3aq34","s3aq35a","s3aq35b","s3aq35c","s3aq36","s4aq07"
"8fd7e756172d4ffeb06c4ac56373c5b6",2,2,"PAMA",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,1,1,2,0.4,1,0.4,14000,2,2,,,,,1.5
"8ff2011bf11046babbd4e58800e9b032",2,1,"CASSAVA",1.25,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.85
"90637ec2585b4fd78392b04e1d30947e",2,1,"Banana food plot",0.61,4,1,4,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.61
"908b17ed0b964e90b22afa865690df5d",1,2,"PLOT B BEANS",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"908b17ed0b964e90b22afa865690df5d",1,1,"PLOT A BANANA",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"908b17ed0b964e90b22afa865690df5d",2,1,"PLOT A FINGER MILLET",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"908dd494e84b4c94b3ed8e96ccd543c5",1,1,"Cassava",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"90a14f8125044834aa6bad070999e7f0",1,1,"MIXED PLOT",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,1
"90b431b15e394501830e496a6936cb0d",1,1,"BANANA",,,2,,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.06
"90b431b15e394501830e496a6936cb0d",1,2,"POTATOES",,,2,,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"90c5ab804f3a4324afed563b4a6ce62d",1,4,"BEANS AND MAIZE",0.25,2,2,,1,2,2,2,,,,,,,,2,,,,,,,,1,96,2,0.5,1,0.5,5000,2,2,,,,,0.25
"90c5ab804f3a4324afed563b4a6ce62d",1,3,"CASSAVA",0.25,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
"90c5ab804f3a4324afed563b4a6ce62d",1,1,"MAIZE,",0.75,2,2,,1,2,2,2,,,,,,,,2,,,,,,,,1,96,2,2,1,2,20000,3,1,3,0,0,30000,0.75
"90c5ab804f3a4324afed563b4a6ce62d",1,2,"RICE",0.75,2,2,,1,2,2,2,,,,,,,,2,,,,,,,,1,96,2,1.5,1,1.5,15000,2,2,,,,,0.75
"90ed3532efb0474b9df999ce192aafb7",1,2,"SWEET POTATOES",0.15,,1,,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.1
"90ed3532efb0474b9df999ce192aafb7",1,1,"MATOOKE",0.75,,1,,,,2,1,1,300,2,,,,2,2,,,,,,,,2,,,,,,,,2,,,,,0.75
"90ed3532efb0474b9df999ce192aafb7",1,3,"CASSAVA",0.05,,1,,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.1
"91015628f3444ab18088d1b66a8d5f6d",4,1,"COFFEE",0.5,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"91015628f3444ab18088d1b66a8d5f6d",6,1,"MATOOKE BEANS",,1,1,2,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"91215b9533744b4dbf8def7520be8c1f",1,1,"MAIZE PLOT",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,1,1,1,4,1,4,120000,2,1,10,0,0,100000,2
"91450e2292dc4a4c85423c6d96788120",1,1,"NOT CULTIVATED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91450e2292dc4a4c85423c6d96788120",3,1,"NOT CULTIVATED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91450e2292dc4a4c85423c6d96788120",2,1,"NOT CULTIVATED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"914c5519c55a4df18a820696f62c1c80",1,1,"SORGHUM AND SUNFLOWER",3.12,3,2,,3,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,3.12
"914c5519c55a4df18a820696f62c1c80",2,1,"MAIZE",0.25,3,2,,3,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
