"hhid","LiveStockID","s6aq01","s6aq03a","s6aq03b","s6aq03c","s6aq03d","s6aq03e","s6aq03f","s6aq04a","s6aq04b","s6aq04c","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13a","s6aq13b","s6aq14a","s6aq14b","s6aq15","s6aq15b","s6aq15c","s6aq16"
"13bbb610652645e3bde6239310be0af2",5,1,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,6,1
"13bbb610652645e3bde6239310be0af2",1,1,1,1,2,1,2,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,6,1
"13c0ac9e60234803a737099cd94a24c1",6,1,1,1,,1,,2,0,,,0,0,0,0,0,0,0,1,400000,0,,0,1,,2
"150492bae7f649c09544dece19749fda",9,1,1,1,,1,,1,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"150492bae7f649c09544dece19749fda",7,1,1,1,,2,,1,0,,,1,0,0,0,0,0,0,0,,0,,0,1,8,1
"153130f9590e4b59a237bbcd326d58ce",10,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,3,2
"15427620b2844715a0283e4a1a08f8b2",10,1,1,1,,1,,2,0,,,1,1,0,0,0,1,0,0,,0,,0,1,6,2
"15427620b2844715a0283e4a1a08f8b2",6,1,1,1,,1,2,2,0,,,1,1,0,0,0,0,0,0,,1,300000,0,1,,2
"15427620b2844715a0283e4a1a08f8b2",9,1,1,1,,2,7,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"165a1e8e700c4e6f9977913e11df0a97",9,1,3,1,2,1,2,2,0,,,3,0,0,0,0,0,0,0,,0,,0,5,6,1
"165a1e8e700c4e6f9977913e11df0a97",7,1,0,,,,,,0,,,1,0,0,1,0,0,0,0,,0,,0,5,6,1
"165a1e8e700c4e6f9977913e11df0a97",10,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,5,6,1
"16a01c5d7fbb4e27922ce41c63b9e54d",7,1,0,,,,,,0,,,1,0,0,0,0,0,0,0,,1,500000,0,1,6,1
"16caa101b05c4019b6297053ddc9eafe",6,1,1,1,,1,2,1,0,,,1,0,0,0,0,0,0,0,,0,,0,6,,1
"16caa101b05c4019b6297053ddc9eafe",10,1,1,1,,1,2,1,0,,,1,0,0,0,0,0,0,0,,0,,0,6,,1
"171286d2a1c3410db9dbdc17ac20ec52",7,1,1,1,,4,3,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,8,1
"17233724877245b09fb85a552e6c44a7",10,1,1,5,7,5,7,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,2,2
"17233724877245b09fb85a552e6c44a7",6,1,1,5,7,5,7,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,2
"175e0d6d699a42bb8f960c310b38ae2f",5,1,1,2,,2,1,2,0,,,1,0,1,0,0,1,0,0,,0,,0,1,2,2
"17a884c8ed9e4ea891be76efa97d08c6",5,1,2,1,4,1,4,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,2,1
"17d493f37f5240f1ab444e863bf4a430",2,1,0,,,,,,0,,,1,0,0,0,0,0,0,0,,1,900000,0,1,5,2
"17d493f37f5240f1ab444e863bf4a430",9,1,0,,,,,,0,,,1,0,0,0,0,0,0,0,,1,700000,0,2,5,1
